n_train,err
139.88742101900672,0.5815007303804297
200,0.49632619369917474
285.9442236379855,0.40347822892798635
397.6102360311465,0.26582950011778517
475.42632152249166,0.09729605646212959
679.7270520240621,0.07579309287953558
995.2586834304211,0.04918117969192161
1422.9423577623793,0.0371625768326056
2034.4107388598447,0.02957327834508184
2384.730090702284,0.024559054349630717
3409.49897186004,0.01942494457737812
4992.200101182199,0.015317404637020814
6969.365289610744,0.014588853528852301
9964.24873493635,0.013234060682458169
