n_classes,C,max_iter,seed,n_train,acc,xent,err
10,0.01,10000,7,2,0.1962,inf,0.8038
2,0.01,10000,8,2,0.9305,0.2737560137675428,0.0695
5,0.01,10000,8,2,0.3908,inf,0.6092
10,0.01,10000,8,2,0.1914,inf,0.8086
2,0.01,10000,9,2,0.834,0.9582889682539537,0.16600000000000004
5,0.01,10000,9,2,0.2,inf,0.8
10,0.01,10000,9,2,0.1994,inf,0.8006
2,1.0,10000,0,2,0.6755,3.228787050902634,0.3245
5,1.0,10000,0,2,0.3486,inf,0.6514
10,1.0,10000,0,2,0.1516,inf,0.8484
2,1.0,10000,1,2,0.6765,3.723978066699103,0.3235
5,1.0,10000,1,2,0.2,inf,0.8
10,1.0,10000,1,2,0.1,inf,0.9
2,1.0,10000,2,2,0.9245,0.48943998163339736,0.07550000000000001
5,1.0,10000,2,2,0.3972,inf,0.6028
10,1.0,10000,2,2,0.1,inf,0.9
2,1.0,10000,3,2,0.934,0.4266384370985113,0.06599999999999995
5,1.0,10000,3,2,0.3952,inf,0.6048
10,1.0,10000,3,2,0.1856,inf,0.8144
2,1.0,10000,4,2,0.8375,1.0766781141520179,0.16249999999999998
5,1.0,10000,4,2,0.2,inf,0.8
10,1.0,10000,4,2,0.1787,inf,0.8213
2,1.0,10000,5,2,0.9625,0.32158905989818276,0.03749999999999998
5,1.0,10000,5,2,0.2,inf,0.8
10,1.0,10000,5,2,0.1989,inf,0.8011
2,1.0,10000,6,2,0.8285,1.027784923577728,0.17149999999999999
5,1.0,10000,6,2,0.3746,inf,0.6254
10,1.0,10000,6,2,0.1532,inf,0.8468
2,1.0,10000,7,2,0.9555,0.14469843699945897,0.044499999999999984
5,1.0,10000,7,2,0.2,inf,0.8
10,1.0,10000,7,2,0.1956,inf,0.8044
2,1.0,10000,8,2,0.6275,3.899474567219562,0.37250000000000005
5,1.0,10000,8,2,0.2,inf,0.8
10,1.0,10000,8,2,0.1714,inf,0.8286
2,1.0,10000,9,2,0.8375,0.7070986729631241,0.16249999999999998
5,1.0,10000,9,2,0.3818,inf,0.6182000000000001
10,1.0,10000,9,2,0.1986,inf,0.8014
2,100.0,10000,0,2,0.567,7.030719626005758,0.43300000000000005
5,100.0,10000,0,2,0.2,inf,0.8
10,100.0,10000,0,2,0.1988,inf,0.8012
2,100.0,10000,1,2,0.5,inf,0.5
5,100.0,10000,1,2,0.3508,inf,0.6492
10,100.0,10000,1,2,0.1499,inf,0.8501
2,100.0,10000,2,2,0.5685,6.674137493157658,0.4315
5,100.0,10000,2,2,0.2876,inf,0.7123999999999999
10,100.0,10000,2,2,0.1691,inf,0.8309
2,100.0,10000,3,2,0.5,inf,0.5
5,100.0,10000,3,2,0.3456,inf,0.6544
10,100.0,10000,3,2,0.1968,inf,0.8032
2,100.0,10000,4,2,0.911,0.46785183186199836,0.08899999999999997
5,100.0,10000,4,2,0.2962,inf,0.7038
10,100.0,10000,4,2,0.1793,inf,0.8207
