n_classes,C,max_iter,seed,n_train,acc,xent,err
5,0.01,10000,8,3,0.5623762376237624,inf,0.43762376237623757
10,0.01,10000,8,3,0.2348,inf,0.7652
2,0.01,10000,9,3,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,9,3,0.19366336633663367,inf,0.8063366336633664
10,0.01,10000,9,3,0.2509,inf,0.7491
2,1.0,10000,0,3,0.6017786561264822,7.592296116937679,0.3982213438735178
5,1.0,10000,0,3,0.5021782178217822,inf,0.4978217821782178
10,1.0,10000,0,3,0.1398,inf,0.8602
2,1.0,10000,1,3,0.8414031620553359,1.7598786827007307,0.15859683794466406
5,1.0,10000,1,3,0.259009900990099,inf,0.740990099009901
10,1.0,10000,1,3,0.2559,inf,0.7441
2,1.0,10000,2,3,0.5212450592885376,inf,0.4787549407114624
5,1.0,10000,2,3,0.5138613861386139,inf,0.4861386138613861
10,1.0,10000,2,3,0.1506,inf,0.8493999999999999
2,1.0,10000,3,3,0.6808300395256917,5.765213933605273,0.31916996047430835
5,1.0,10000,3,3,0.5441584158415842,inf,0.4558415841584158
10,1.0,10000,3,3,0.1931,inf,0.8069
2,1.0,10000,4,3,0.7475296442687747,3.9603234101853664,0.25247035573122534
5,1.0,10000,4,3,0.4792079207920792,inf,0.5207920792079208
10,1.0,10000,4,3,0.1404,inf,0.8596
2,1.0,10000,5,3,0.9263833992094862,0.7764203931345837,0.0736166007905138
5,1.0,10000,5,3,0.2998019801980198,inf,0.7001980198019802
10,1.0,10000,5,3,0.2569,inf,0.7431
2,1.0,10000,6,3,0.616106719367589,11.341132171967283,0.383893280632411
5,1.0,10000,6,3,0.575049504950495,inf,0.424950495049505
10,1.0,10000,6,3,0.2578,inf,0.7422
2,1.0,10000,7,3,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,7,3,0.3495049504950495,inf,0.6504950495049505
10,1.0,10000,7,3,0.2218,inf,0.7782
2,1.0,10000,8,3,0.7317193675889329,2.8466164176657545,0.26828063241106714
5,1.0,10000,8,3,0.24396039603960396,inf,0.756039603960396
10,1.0,10000,8,3,0.22,inf,0.78
2,1.0,10000,9,3,0.6200592885375494,9.423046635300027,0.37994071146245056
5,1.0,10000,9,3,0.48,inf,0.52
10,1.0,10000,9,3,0.2626,inf,0.7374
2,100.0,10000,0,3,0.8586956521739131,1.3292500619653995,0.14130434782608692
5,100.0,10000,0,3,0.22613861386138615,inf,0.7738613861386139
10,100.0,10000,0,3,0.2668,inf,0.7332000000000001
2,100.0,10000,1,3,0.6936758893280632,4.358363216573042,0.30632411067193677
5,100.0,10000,1,3,0.299009900990099,inf,0.700990099009901
10,100.0,10000,1,3,0.2058,inf,0.7942
2,100.0,10000,2,3,0.6531620553359684,3.9423190120781326,0.3468379446640316
5,100.0,10000,2,3,0.5845544554455445,inf,0.4154455445544555
10,100.0,10000,2,3,0.1756,inf,0.8244
2,100.0,10000,3,3,0.991600790513834,0.03332130750649946,0.008399209486166015
5,100.0,10000,3,3,0.19188118811881189,inf,0.8081188118811882
10,100.0,10000,3,3,0.2542,inf,0.7458
2,100.0,10000,4,3,0.9762845849802372,0.12063586248026797,0.02371541501976282
5,100.0,10000,4,3,0.2089108910891089,inf,0.7910891089108911
10,100.0,10000,4,3,0.2638,inf,0.7362
2,100.0,10000,5,3,0.7460474308300395,3.207123873905124,0.25395256916996045
5,100.0,10000,5,3,0.4091089108910891,inf,0.590891089108911
10,100.0,10000,5,3,0.2901,inf,0.7099
2,100.0,10000,6,3,0.6763833992094862,4.595237220773277,0.3236166007905138
5,100.0,10000,6,3,0.39801980198019804,inf,0.601980198019802
10,100.0,10000,6,3,0.1069,inf,0.8931
2,100.0,10000,7,3,0.8799407114624506,0.9419103461801385,0.12005928853754944
5,100.0,10000,7,3,0.5374257425742575,inf,0.46257425742574254
10,100.0,10000,7,3,0.209,inf,0.791
2,100.0,10000,8,3,0.657608695652174,5.044197352371441,0.34239130434782605
5,100.0,10000,8,3,0.3566336633663366,inf,0.6433663366336634
10,100.0,10000,8,3,0.2476,inf,0.7524
2,100.0,10000,9,3,0.6714426877470355,4.396682755119328,0.3285573122529645
5,100.0,10000,9,3,0.26455445544554457,inf,0.7354455445544554
10,100.0,10000,9,3,0.2405,inf,0.7595000000000001
2,0.01,10000,0,4,0.9550395256916996,0.29348746576706275,0.04496047430830041
5,0.01,10000,0,4,0.6611881188118812,inf,0.3388118811881188
10,0.01,10000,0,4,0.3506,inf,0.6494
2,0.01,10000,1,4,0.5212450592885376,1.119091737857132,0.4787549407114624
5,0.01,10000,1,4,0.6738613861386139,inf,0.3261386138613861
10,0.01,10000,1,4,0.1061,inf,0.8939
2,0.01,10000,2,4,0.5212450592885376,inf,0.4787549407114624
5,0.01,10000,2,4,0.6388118811881188,inf,0.3611881188118812
10,0.01,10000,2,4,0.2059,inf,0.7941
2,0.01,10000,3,4,0.9777667984189723,0.099399267872465,0.022233201581027706
5,0.01,10000,3,4,0.2104950495049505,inf,0.7895049504950495
10,0.01,10000,3,4,0.0989,inf,0.9011
2,0.01,10000,4,4,0.9817193675889329,0.08258499525304686,0.018280632411067144
5,0.01,10000,4,4,0.19227722772277228,inf,0.8077227722772278
10,0.01,10000,4,4,0.203,inf,0.7969999999999999
2,0.01,10000,5,4,0.47875494071146246,inf,0.5212450592885376
5,0.01,10000,5,4,0.2001980198019802,inf,0.7998019801980198
10,0.01,10000,5,4,0.1053,inf,0.8947
2,0.01,10000,6,4,0.9797430830039525,0.1526994943155328,0.02025691699604748
5,0.01,10000,6,4,0.19267326732673268,inf,0.8073267326732674
10,0.01,10000,6,4,0.3403,inf,0.6597
2,0.01,10000,7,4,0.974308300395257,0.20240671251299308,0.025691699604743046
5,0.01,10000,7,4,0.2,inf,0.8
10,0.01,10000,7,4,0.3634,inf,0.6366
2,0.01,10000,8,4,0.9179841897233202,0.7269264075050371,0.08201581027667981
5,0.01,10000,8,4,0.19900990099009902,inf,0.800990099009901
10,0.01,10000,8,4,0.099,inf,0.901
2,0.01,10000,9,4,0.941699604743083,0.3590365854103215,0.05830039525691699
5,0.01,10000,9,4,0.2102970297029703,inf,0.7897029702970297
10,0.01,10000,9,4,0.1056,inf,0.8944
2,1.0,10000,0,4,0.5350790513833992,16.531618291873816,0.4649209486166008
5,1.0,10000,0,4,0.5362376237623763,inf,0.46376237623762373
10,1.0,10000,0,4,0.3209,inf,0.6791
2,1.0,10000,1,4,0.5647233201581028,17.27437393985187,0.4352766798418972
5,1.0,10000,1,4,0.6255445544554455,inf,0.37445544554455445
10,1.0,10000,1,4,0.34,inf,0.6599999999999999
2,1.0,10000,2,4,0.8428853754940712,1.2928639451615749,0.15711462450592883
5,1.0,10000,2,4,0.33722772277227725,inf,0.6627722772277227
10,1.0,10000,2,4,0.3664,inf,0.6335999999999999
2,1.0,10000,3,4,0.47875494071146246,inf,0.5212450592885376
5,1.0,10000,3,4,0.3463366336633663,inf,0.6536633663366337
10,1.0,10000,3,4,0.2244,inf,0.7756000000000001
2,1.0,10000,4,4,0.5296442687747036,16.67234094230483,0.4703557312252964
5,1.0,10000,4,4,0.5247524752475248,inf,0.4752475247524752
10,1.0,10000,4,4,0.1951,inf,0.8049
2,1.0,10000,5,4,0.8646245059288538,1.471714066774636,0.13537549407114624
5,1.0,10000,5,4,0.30198019801980197,inf,0.698019801980198
10,1.0,10000,5,4,0.3883,inf,0.6117
2,1.0,10000,6,4,0.4965415019762846,23.868680241343498,0.5034584980237153
5,1.0,10000,6,4,0.4647524752475248,inf,0.5352475247524753
10,1.0,10000,6,4,0.2475,inf,0.7525
2,1.0,10000,7,4,0.6091897233201581,9.861309566188265,0.3908102766798419
5,1.0,10000,7,4,0.3778217821782178,inf,0.6221782178217822
