n_train,err,xent
128,0.947721591,4.56350036
256,0.911425843,4.346090781
512,0.842951263,3.903555366
1024,0.757118775,3.339047507
2048,0.635106492,2.746789738
4096,0.492731373,2.089822312
8192,0.378559387,1.574539093
10000,0.350118571,1.442097806
16384,0.296577051,1.209698807
20000,0.274295492,1.097181968
30000,0.232349138,0.929396552
32768,0.2212798,0.876520146
40000,0.206663013,0.826652051
50000,0.183816481,0.728122714
