n_train,err
1024,0.13057102731786654
2048,0.09389303397841707
4096,0.07332343424181083
8192,0.0544814494690826
16384,0.0428770622454593
32768,0.037211155511948306
65536,0.03171499980126265
131072,0.024623550110163726
262144,0.020358558762188048
524288,0.019069719671145253
604388,0.01910253804011688
